date,timestamp,update_timestamp,forecast_date,forecast_timestamp,forecast_summary,forecast_text,forecast_code,wind_speed_high,wind_speed_low,wind_direction,relative_humidity_high,relative_humidity_low,temperature_high,temperature_low
2022-01-11,2022-01-11T17:11:00+08:00,2022-01-11T17:32:11+08:00,2022-01-14,2022-01-14T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-11,2022-01-11T17:11:00+08:00,2022-01-11T17:32:11+08:00,2022-01-15,2022-01-15T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,20.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-12,2022-01-12T05:30:00+08:00,2022-01-12T06:02:12+08:00,2022-01-13,2022-01-13T00:00:00+08:00,Fair and windy.,Windy,WD,30.0,20.0,NNE,85.0,55.0,33.0,24.0
2022-01-12,2022-01-12T05:30:00+08:00,2022-01-12T06:02:12+08:00,2022-01-14,2022-01-14T00:00:00+08:00,Windy. Afternoon passing showers.,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-12,2022-01-12T05:30:00+08:00,2022-01-12T06:02:12+08:00,2022-01-15,2022-01-15T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,20.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-12,2022-01-12T05:30:00+08:00,2022-01-12T06:02:12+08:00,2022-01-16,2022-01-16T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,20.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-12,2022-01-12T17:11:00+08:00,2022-01-12T17:32:12+08:00,2022-01-13,2022-01-13T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,33.0,24.0
2022-01-12,2022-01-12T17:11:00+08:00,2022-01-12T17:32:12+08:00,2022-01-14,2022-01-14T00:00:00+08:00,Fair and windy,Windy,WD,30.0,20.0,NNE,85.0,55.0,33.0,24.0
2022-01-12,2022-01-12T17:11:00+08:00,2022-01-12T17:32:12+08:00,2022-01-15,2022-01-15T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-12,2022-01-12T17:11:00+08:00,2022-01-12T17:32:12+08:00,2022-01-16,2022-01-16T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-13,2022-01-13T05:00:00+08:00,2022-01-13T05:32:11+08:00,2022-01-14,2022-01-14T00:00:00+08:00,Fair and windy,Windy,WD,30.0,20.0,NNE,85.0,55.0,33.0,24.0
2022-01-13,2022-01-13T05:00:00+08:00,2022-01-13T05:32:11+08:00,2022-01-15,2022-01-15T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-13,2022-01-13T05:00:00+08:00,2022-01-13T05:32:11+08:00,2022-01-16,2022-01-16T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-13,2022-01-13T05:00:00+08:00,2022-01-13T05:32:11+08:00,2022-01-17,2022-01-17T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-13,2022-01-13T17:21:00+08:00,2022-01-13T17:32:12+08:00,2022-01-14,2022-01-14T00:00:00+08:00,Fair and windy,Windy,WD,30.0,20.0,NNE,85.0,55.0,33.0,24.0
